x,y,label
3.80923702,1.34521993,2
5.66362602,7.24225646,0
5.79622535,8.50564447,0
6.40867728,8.450243400000002,0
3.04688993,-0.37204695,2
5.40527342,8.1355594,0
3.78949544,2.15646851,2
5.15940064,0.83557649,2
-9.63524915,3.2623286,1
3.73198344,1.00756926,2
4.57423683,8.70260388,0
-8.713482,6.37828063,1
-11.202390699999999,4.21031844,1
-10.01521439,5.38738745,1
-9.43081116,5.46970841,1
5.08672508,1.23592823,2
-9.79533134,3.77562286,1
6.42428163,7.42893064,0
7.73069747,6.75321041,0
-9.85733828,6.46565062,1
